EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.002431507,Negative Binomial,0.6113252065,13.045454545,2,6.5203705455,1.9992776408,0,0.9993532968,ANOVA,0.0215995019,0.1818181818,2,0.0295141818,1.1937846794,0,0.0030744933,ANOVA,0.858385273,12.090909091,2,7.4193290909,2.5881841028,1,0.2615679819,ANOVA,-0.267631484,0.8636363636,2,-0.898958636,-2.040899474,0,0.9242087438,ANOVA,0.0371812531,0.0909090909,2,0.0208330909,1.2972928094,0,0.002431507,Negative Binomial,0.6113252065,13.045454545,2,6.5203705455,1.9992776408,0,0.0030744933,ANOVA,0.858385273,12.090909091,2,7.4193290909,2.5881841028,1,0.2615679819,ANOVA,-0.267631484,0.8636363636,2,-0.898958636,-2.040899474,0
SITEID(COUNTRY),AUS,0028,0.9323853215,Negative Binomial,0.3435712108,6.6363636364,11,0.1112796364,1.0170541309,0,0.3887278498,ANOVA,0.2025811425,0.3636363636,11,0.2113323636,2.3875693589,0,0.9906033419,ANOVA,0.3963570771,5.0909090909,11,0.4193290909,1.0897617275,0,0.99999999,ANOVA,0.0998744496,1.3636363636,11,-0.398958636,-1.292569667,0,0.4374387549,ANOVA,0.1363205889,0.1818181818,11,0.1117421818,2.5945856187,0,0.9323853215,Negative Binomial,0.3435712108,6.6363636364,11,0.1112796364,1.0170541309,0,0.9906033419,ANOVA,0.3963570771,5.0909090909,11,0.4193290909,1.0897617275,0,0.99999999,ANOVA,0.0998744496,1.3636363636,11,-0.398958636,-1.292569667,0
SITEID(COUNTRY),AUS,0029,0.0206078384,Negative Binomial,0.9351889538,19.454545455,11,12.929461455,2.9815011507,1,0.9949499518,ANOVA,-0.107801909,0,11,-0.152304,-100,0,0.0127862856,ANOVA,1.5108276654,19.090909091,11,14.419329091,4.0866064781,1,0.3584266529,ANOVA,-0.483235874,0.3636363636,11,-1.398958636,-4.84713625,0,0.9999978354,ANOVA,-0.045497593,0,11,-0.070076,-100,0,0.0206078384,Negative Binomial,0.9351889538,19.454545455,11,12.929461455,2.9815011507,1,0.0127862856,ANOVA,1.5108276654,19.090909091,11,14.419329091,4.0866064781,1,0.3584266529,ANOVA,-0.483235874,0.3636363636,11,-1.398958636,-4.84713625,0
COUNTRY,DEU,,0.8516618929,Negative Binomial,-0.365092934,5.2,2,-1.325084,-1.254823846,0,0.8027640582,ANOVA,0.1164079763,0.25,2,0.097696,1.6414539342,0,0.7456476375,ANOVA,-0.461303983,3.6,2,-1.07158,-1.297661111,0,0.999959196,ANOVA,0.0537972052,1.475,2,-0.287595,-1.194979661,0,0.8767502255,ANOVA,0.0712721622,0.125,2,0.054924,1.7837776129,0,0.8516618929,Negative Binomial,-0.365092934,5.2,2,-1.325084,-1.254823846,0,0.7456476375,ANOVA,-0.461303983,3.6,2,-1.07158,-1.297661111,0,0.999959196,ANOVA,0.0537972052,1.475,2,-0.287595,-1.194979661,0
SITEID(COUNTRY),DEU,1239,0.3294440945,Negative Binomial,0.7800540413,9.4,5,2.874916,1.4405944812,0,0.9999920256,ANOVA,-0.107801909,0,5,-0.152304,-100,0,0.8713696033,ANOVA,0.8110529892,7.2,5,2.52842,1.5412344432,0,0.9945276156,ANOVA,0.3875466931,2.2,5,0.437405,1.2481596737,0,0.99999999,ANOVA,-0.045497593,0,5,-0.070076,-100,0,0.3294440945,Negative Binomial,0.7800540413,9.4,5,2.874916,1.4405944812,0,0.8713696033,ANOVA,0.8110529892,7.2,5,2.52842,1.5412344432,0,0.9945276156,ANOVA,0.3875466931,2.2,5,0.437405,1.2481596737,0
SITEID(COUNTRY),DEU,1648,0.2761378584,Negative Binomial,-1.454130157,1,4,-5.525084,-6.525084,0,0.198666846,ANOVA,0.3921980914,0.5,4,0.347696,3.2829078685,0,0.0953259393,ANOVA,-1.543246758,0,4,-4.67158,-100,0,0.99999999,ANOVA,-0.128050739,0.75,4,-1.012595,-2.350126667,0,0.6722282552,ANOVA,0.204502407,0.25,4,0.179924,3.5675552258,0,0.2761378584,Negative Binomial,-1.454130157,1,4,-5.525084,-6.525084,0,0.0953259393,ANOVA,-1.543246758,0,4,-4.67158,-100,0,0.99999999,ANOVA,-0.128050739,0.75,4,-1.012595,-2.350126667,0
COUNTRY,ESP,,0.9982529445,ANOVA,-0.156398117,5.4166666667,3,-1.108417333,-1.204630892,0,0.0411249524,ANOVA,0.2552968652,0.3888888889,3,0.2365848889,2.5533727866,0,0.8270020678,ANOVA,-0.367049758,2.7777777778,3,-1.893802222,-1.6817688,0,0.7768007254,ANOVA,0.2672959,2.3888888889,3,0.6262938889,1.3553248982,0,0.9979633134,ANOVA,0.0296054956,0.0833333333,3,0.0132573333,1.1891850753,0,0.9982529445,ANOVA,-0.156398117,5.4166666667,3,-1.108417333,-1.204630892,0,0.8270020678,ANOVA,-0.367049758,2.7777777778,3,-1.893802222,-1.6817688,0,0.7768007254,ANOVA,0.2672959,2.3888888889,3,0.6262938889,1.3553248982,0
SITEID(COUNTRY),ESP,1618,0.8371350959,Negative Binomial,0.5086026178,8.5,6,1.974916,1.3026652224,0,0.99999999,ANOVA,0.0588647581,0.1666666667,6,0.0143626667,1.0943026228,0,0.9981614401,ANOVA,-0.478771584,2.3333333333,6,-2.338246667,-2.002105714,0,1.849642E-6,ANOVA,1.639394884,6.1666666667,6,4.4040716667,3.4986293883,1,0.9999999888,ANOVA,-0.045497593,0,6,-0.070076,-100,0,0.8371350959,Negative Binomial,0.5086026178,8.5,6,1.974916,1.3026652224,0,0.9981614401,ANOVA,-0.478771584,2.3333333333,6,-2.338246667,-2.002105714,0,1.849642E-6,ANOVA,1.639394884,6.1666666667,6,4.4040716667,3.4986293883,1
SITEID(COUNTRY),ESP,1651,0.9996502826,Negative Binomial,-0.639280544,2.5,2,-4.025084,-2.6100336,0,0.7822277934,ANOVA,0.3921980914,0.5,2,0.347696,3.2829078685,0,0.99999999,ANOVA,-0.321208044,2,2,-2.67158,-2.33579,0,0.9653940324,ANOVA,-0.731604129,0,2,-1.762595,-100,0,0.99999999,Negative Binomial,-1.60101546,0,2,-0.070076,-100,0,0.9996502826,Negative Binomial,-0.639280544,2.5,2,-4.025084,-2.6100336,0,0.99999999,ANOVA,-0.321208044,2,2,-2.67158,-2.33579,0,0.9653940324,ANOVA,-0.731604129,0,2,-1.762595,-100,0
SITEID(COUNTRY),ESP,1653,0.99999999,Negative Binomial,-0.021544893,5.25,4,-1.275084,-1.242873143,0,0.198666846,ANOVA,0.3921980914,0.5,4,0.347696,3.2829078685,0,0.99999999,ANOVA,-0.015548352,4,4,-0.67158,-1.167895,0,0.99999999,ANOVA,0.1219492611,1,4,-0.762595,-1.762595,0,0.6722282552,ANOVA,0.204502407,0.25,4,0.179924,3.5675552258,0,0.99999999,Negative Binomial,-0.021544893,5.25,4,-1.275084,-1.242873143,0,0.99999999,ANOVA,-0.015548352,4,4,-0.67158,-1.167895,0,0.99999999,ANOVA,0.1219492611,1,4,-0.762595,-1.762595,0
COUNTRY,GBR,,0.1449455247,Negative Binomial,0.5253562035,10.066666667,2,3.5415826667,1.5427643026,0,0.6653205954,ANOVA,-0.133592024,0,2,-0.152304,-100,0,0.9046366556,ANOVA,0.3286161213,6.4,2,1.72842,1.3699861717,0,0.3017809432,ANOVA,0.4314414987,3.6666666667,2,1.9040716667,2.0802661228,0,0.9614459322,ANOVA,-0.053727838,0,2,-0.070076,-100,0,0.1449455247,Negative Binomial,0.5253562035,10.066666667,2,3.5415826667,1.5427643026,0,0.9046366556,ANOVA,0.3286161213,6.4,2,1.72842,1.3699861717,0,0.3017809432,ANOVA,0.4314414987,3.6666666667,2,1.9040716667,2.0802661228,0
SITEID(COUNTRY),GBR,1287,0.9999995966,Negative Binomial,0.1635883793,6.8,10,0.274916,1.0421321779,0,0.9974353002,ANOVA,-0.107801909,0,10,-0.152304,-100,0,0.9951606505,Negative Binomial,1.0657188389,6.8,10,2.12842,1.4556103074,0,0.0218378945,ANOVA,-0.731604129,0,10,-1.762595,-100,0,0.9999991763,ANOVA,-0.045497593,0,10,-0.070076,-100,0,0.9999995966,Negative Binomial,0.1635883793,6.8,10,0.274916,1.0421321779,0,0.9951606505,Negative Binomial,1.0657188389,6.8,10,2.12842,1.4556103074,0,0.0218378945,ANOVA,-0.731604129,0,10,-1.762595,-100,0
SITEID(COUNTRY),GBR,1654,0.3402488324,Negative Binomial,0.9432337794,13.333333333,3,6.8082493333,2.0433964273,0,0.9999999421,ANOVA,-0.107801909,0,3,-0.152304,-100,0,0.998413328,Negative Binomial,0.9405556959,6,3,1.32842,1.284362036,0,0.0008784968,ANOVA,1.7463886706,7.3333333333,3,5.5707383333,4.1605322455,1,0.99999999,Negative Binomial,-1.600672585,0,3,-0.070076,-100,0,0.3402488324,Negative Binomial,0.9432337794,13.333333333,3,6.8082493333,2.0433964273,0,0.998413328,Negative Binomial,0.9405556959,6,3,1.32842,1.284362036,0,0.0008784968,ANOVA,1.7463886706,7.3333333333,3,5.5707383333,4.1605322455,1
COUNTRY,JPN,,0.9962718137,ANOVA,0.266999825,6.8888888889,3,0.3638048889,1.0557548208,0,0.9721379265,ANOVA,0.1021102367,0.3333333333,3,0.1810293333,2.1886052456,0,0.9999206664,Negative Binomial,0.2235075866,3.6666666667,3,-1.004913333,-1.274067273,0,0.2544431494,ANOVA,0.6340369893,2.8888888889,3,1.1262938889,1.6389975513,0,0.2833633127,ANOVA,0.1819744226,0.3333333333,3,0.2632573333,4.756740301,0,0.9962718137,ANOVA,0.266999825,6.8888888889,3,0.3638048889,1.0557548208,0,0.9999206664,Negative Binomial,0.2235075866,3.6666666667,3,-1.004913333,-1.274067273,0,0.2544431494,ANOVA,0.6340369893,2.8888888889,3,1.1262938889,1.6389975513,0
SITEID(COUNTRY),JPN,1346,0.87832697,Negative Binomial,-0.969184852,1.6666666667,3,-4.858417333,-3.9150504,0,0.9999999421,ANOVA,-0.107801909,0,3,-0.152304,-100,0,0.9909773467,ANOVA,-0.786459131,1,3,-3.67158,-4.67158,0,0.9999998982,ANOVA,-0.260199609,0.6666666667,3,-1.095928333,-2.6438925,0,0.99999999,Negative Binomial,-1.600585704,0,3,-0.070076,-100,0,0.87832697,Negative Binomial,-0.969184852,1.6666666667,3,-4.858417333,-3.9150504,0,0.9909773467,ANOVA,-0.786459131,1,3,-3.67158,-4.67158,0,0.9999998982,ANOVA,-0.260199609,0.6666666667,3,-1.095928333,-2.6438925,0
SITEID(COUNTRY),JPN,1722,0.3199631604,Negative Binomial,1.1831937172,14,2,7.474916,2.1455662486,0,0.1230440479,ANOVA,0.5993048726,1,2,0.847696,6.5658157369,0,0.9255937795,ANOVA,1.1890552317,8,2,3.32842,1.7124827146,0,0.1333336399,ANOVA,1.3897162141,5,2,3.237405,2.8367265311,0,0.0004233957,ANOVA,0.6616091882,1,2,0.929924,14.270220903,0,0.3199631604,Negative Binomial,1.1831937172,14,2,7.474916,2.1455662486,0,0.9255937795,ANOVA,1.1890552317,8,2,3.32842,1.7124827146,0,0.1333336399,ANOVA,1.3897162141,5,2,3.237405,2.8367265311,0
SITEID(COUNTRY),JPN,1723,0.99999999,Negative Binomial,0.1010105838,5,1,-1.525084,-1.3050168,0,0.99999999,Negative Binomial,-0.257518111,0,1,-0.152304,-100,0,0.99999999,ANOVA,-0.233102649,2,1,-2.67158,-2.33579,0,0.976510351,ANOVA,1.0004466781,3,1,1.237405,1.7020359186,0,0.99999999,Negative Binomial,-1.597401878,0,1,-0.070076,-100,0,0.99999999,Negative Binomial,0.1010105838,5,1,-1.525084,-1.3050168,0,0.99999999,ANOVA,-0.233102649,2,1,-2.67158,-2.33579,0,0.976510351,ANOVA,1.0004466781,3,1,1.237405,1.7020359186,0
COUNTRY,TUR,,0.619007013,Negative Binomial,-0.671252156,2.25,1,-4.275084,-2.900037333,0,0.9401771495,ANOVA,-0.133592024,0,1,-0.152304,-100,0,0.9729764355,ANOVA,-0.400891245,2.25,1,-2.42158,-2.076257778,0,0.1353079715,ANOVA,-0.807554901,0,1,-1.762595,-100,0,0.996181591,ANOVA,-0.053727838,0,1,-0.070076,-100,0,0.619007013,Negative Binomial,-0.671252156,2.25,1,-4.275084,-2.900037333,0,0.9729764355,ANOVA,-0.400891245,2.25,1,-2.42158,-2.076257778,0,0.1353079715,ANOVA,-0.807554901,0,1,-1.762595,-100,0
SITEID(COUNTRY),TUR,1650,0.9781745532,Negative Binomial,-0.64319728,2.25,4,-4.275084,-2.900037333,0,0.9999990274,ANOVA,-0.107801909,0,4,-0.152304,-100,0,0.999999983,ANOVA,-0.305684147,2.25,4,-2.42158,-2.076257778,0,0.5786331395,ANOVA,-0.731604129,0,4,-1.762595,-100,0,0.99999999,Negative Binomial,-1.602308792,0,4,-0.070076,-100,0,0.9781745532,Negative Binomial,-0.64319728,2.25,4,-4.275084,-2.900037333,0,0.999999983,ANOVA,-0.305684147,2.25,4,-2.42158,-2.076257778,0,0.5786331395,ANOVA,-0.731604129,0,4,-1.762595,-100,0
COUNTRY,USA,,0.1059738411,Negative Binomial,-0.287704841,5.5282828283,11,-0.996801172,-1.180309366,0,0.3127499846,ANOVA,-0.076773842,0.0568181818,11,-0.095485818,-2.6805504,0,0.2884218435,ANOVA,-0.272581005,4.2138888889,11,-0.457691111,-1.108614898,0,0.9997562761,ANOVA,-0.030135556,1.3143939394,11,-0.448201061,-1.340994467,0,0.2996945768,ANOVA,-0.053727838,0,11,-0.070076,-100,0,0.1059738411,Negative Binomial,-0.287704841,5.5282828283,11,-0.996801172,-1.180309366,0,0.2884218435,ANOVA,-0.272581005,4.2138888889,11,-0.457691111,-1.108614898,0,0.9997562761,ANOVA,-0.030135556,1.3143939394,11,-0.448201061,-1.340994467,0
SITEID(COUNTRY),USA,0005,0.5306044383,ANOVA,-0.837822697,3.875,8,-2.650084,-1.683892645,0,0.9995355183,ANOVA,-0.107801909,0,8,-0.152304,-100,0,0.0114064136,ANOVA,-1.289219931,0.875,8,-3.79658,-5.338948571,-1,0.5700396565,ANOVA,0.5106808769,3,8,1.237405,1.7020359186,0,0.9999999171,ANOVA,-0.045497593,0,8,-0.070076,-100,0,0.5306044383,ANOVA,-0.837822697,3.875,8,-2.650084,-1.683892645,0,0.0114064136,ANOVA,-1.289219931,0.875,8,-3.79658,-5.338948571,-1,0.5700396565,ANOVA,0.5106808769,3,8,1.237405,1.7020359186,0
SITEID(COUNTRY),USA,0018,0.4002837217,Negative Binomial,-1.075303632,2.2,5,-4.325084,-2.965947273,0,0.9999920256,ANOVA,-0.107801909,0,5,-0.152304,-100,0,0.1301908414,ANOVA,-1.404304683,1,5,-3.67158,-4.67158,0,0.9999979851,ANOVA,0.2340812955,1.2,5,-0.562595,-1.468829167,0,0.99999999,ANOVA,-0.045497593,0,5,-0.070076,-100,0,0.4002837217,Negative Binomial,-1.075303632,2.2,5,-4.325084,-2.965947273,0,0.1301908414,ANOVA,-1.404304683,1,5,-3.67158,-4.67158,0,0.9999979851,ANOVA,0.2340812955,1.2,5,-0.562595,-1.468829167,0
SITEID(COUNTRY),USA,0109,0.99999999,Negative Binomial,0.1300391746,6.5,4,-0.025084,-1.003859077,0,0.9999990274,ANOVA,-0.107801909,0,4,-0.152304,-100,0,0.998413328,Negative Binomial,0.9405556959,6,4,1.32842,1.284362036,0,0.999180795,ANOVA,-0.378050739,0.5,4,-1.262595,-3.52519,0,0.99999999,Negative Binomial,-1.602308792,0,4,-0.070076,-100,0,0.99999999,Negative Binomial,0.1300391746,6.5,4,-0.025084,-1.003859077,0,0.998413328,Negative Binomial,0.9405556959,6,4,1.32842,1.284362036,0,0.999180795,ANOVA,-0.378050739,0.5,4,-1.262595,-3.52519,0
SITEID(COUNTRY),USA,0151,0.005492063,Negative Binomial,0.9133406365,12.625,8,6.099916,1.9348409921,0,0.99999999,Negative Binomial,0.1182648429,0.125,8,-0.027304,-1.218432,0,0.0124868735,ANOVA,1.280043038,12,8,7.32842,2.5687240719,1,0.9990628416,ANOVA,-0.265097779,0.625,8,-1.137595,-2.820152,0,0.9999999171,ANOVA,-0.045497593,0,8,-0.070076,-100,0,0.005492063,Negative Binomial,0.9133406365,12.625,8,6.099916,1.9348409921,0,0.0124868735,ANOVA,1.280043038,12,8,7.32842,2.5687240719,1,0.9990628416,ANOVA,-0.265097779,0.625,8,-1.137595,-2.820152,0
SITEID(COUNTRY),USA,0184,0.9993528733,ANOVA,-0.39354049,4.1111111111,9,-2.413972889,-1.587182595,0,0.998831802,ANOVA,-0.107801909,0,9,-0.152304,-100,0,0.99999999,ANOVA,-0.003046281,4.1111111111,9,-0.560468889,-1.13633027,0,0.0396430839,ANOVA,-0.731604129,0,9,-1.762595,-100,0,0.9999997206,ANOVA,-0.045497593,0,9,-0.070076,-100,0,0.9993528733,ANOVA,-0.39354049,4.1111111111,9,-2.413972889,-1.587182595,0,0.99999999,ANOVA,-0.003046281,4.1111111111,9,-0.560468889,-1.13633027,0,0.0396430839,ANOVA,-0.731604129,0,9,-1.762595,-100,0
SITEID(COUNTRY),USA,0281,0.8836108014,Negative Binomial,-0.990092499,1.6666666667,3,-4.858417333,-3.9150504,0,0.9999999421,ANOVA,-0.107801909,0,3,-0.152304,-100,0,0.6444049893,ANOVA,-1.251024416,0.3333333333,3,-4.338246667,-14.01474,0,0.99999999,ANOVA,0.179079473,1.3333333333,3,-0.429261667,-1.32194625,0,0.99999999,Negative Binomial,-1.602454244,0,3,-0.070076,-100,0,0.8836108014,Negative Binomial,-0.990092499,1.6666666667,3,-4.858417333,-3.9150504,0,0.6444049893,ANOVA,-1.251024416,0.3333333333,3,-4.338246667,-14.01474,0,0.99999999,ANOVA,0.179079473,1.3333333333,3,-0.429261667,-1.32194625,0
SITEID(COUNTRY),USA,0325,0.9591173626,Negative Binomial,1.0246749616,13,1,6.474916,1.9923115166,0,0.99999999,Negative Binomial,-0.335311667,0,1,-0.152304,-100,0,0.9849266164,Negative Binomial,1.346020804,9,1,4.32842,1.926543054,0,0.8191831829,ANOVA,1.2683958705,4,1,2.237405,2.2693812248,0,0.99999999,Negative Binomial,-1.602443774,0,1,-0.070076,-100,0,0.9591173626,Negative Binomial,1.0246749616,13,1,6.474916,1.9923115166,0,0.9849266164,Negative Binomial,1.346020804,9,1,4.32842,1.926543054,0,0.8191831829,ANOVA,1.2683958705,4,1,2.237405,2.2693812248,0
SITEID(COUNTRY),USA,1004,0.9929372016,Negative Binomial,-0.475592285,3,5,-3.525084,-2.175028,0,0.9999920256,ANOVA,-0.107801909,0,5,-0.152304,-100,0,0.99999999,ANOVA,-0.138296688,3,5,-1.67158,-1.557193333,0,0.3696399707,ANOVA,-0.731604129,0,5,-1.762595,-100,0,0.99999999,ANOVA,-0.045497593,0,5,-0.070076,-100,0,0.9929372016,Negative Binomial,-0.475592285,3,5,-3.525084,-2.175028,0,0.99999999,ANOVA,-0.138296688,3,5,-1.67158,-1.557193333,0,0.3696399707,ANOVA,-0.731604129,0,5,-1.762595,-100,0
SITEID(COUNTRY),USA,1005,0.9999990549,Negative Binomial,0.2390678529,6,5,-0.525084,-1.087514,0,0.9999920256,ANOVA,-0.107801909,0,5,-0.152304,-100,0,0.9999999898,ANOVA,-0.239047622,3.2,5,-1.47158,-1.45986875,0,0.1185747852,ANOVA,0.881294891,2.8,5,1.037405,1.5885668574,0,0.99999999,ANOVA,-0.045497593,0,5,-0.070076,-100,0,0.9999990549,Negative Binomial,0.2390678529,6,5,-0.525084,-1.087514,0,0.9999999898,ANOVA,-0.239047622,3.2,5,-1.47158,-1.45986875,0,0.1185747852,ANOVA,0.881294891,2.8,5,1.037405,1.5885668574,0
SITEID(COUNTRY),USA,1089,0.9997717204,Negative Binomial,0.5379893224,7.5,2,0.974916,1.1494104903,0,0.7822277934,ANOVA,0.3921980914,0.5,2,0.347696,3.2829078685,0,0.9896545592,ANOVA,1.003486976,6.5,2,1.82842,1.3913922056,0,0.9999999893,ANOVA,0.2683958705,1,2,-0.762595,-1.762595,0,0.99999999,Negative Binomial,-1.602448978,0,2,-0.070076,-100,0,0.9997717204,Negative Binomial,0.5379893224,7.5,2,0.974916,1.1494104903,0,0.9896545592,ANOVA,1.003486976,6.5,2,1.82842,1.3913922056,0,0.9999999893,ANOVA,0.2683958705,1,2,-0.762595,-1.762595,0
SITEID(COUNTRY),USA,1166,0.1530388009,ANOVA,-1.785654874,0.3333333333,3,-6.191750667,-19.575252,0,0.9999999421,ANOVA,-0.107801909,0,3,-0.152304,-100,0,0.3870135915,ANOVA,-1.396454515,0.3333333333,3,-4.338246667,-14.01474,0,0.8099106013,ANOVA,-0.731604129,0,3,-1.762595,-100,0,0.99999999,Negative Binomial,-1.598831481,0,3,-0.070076,-100,0,0.1530388009,ANOVA,-1.785654874,0.3333333333,3,-6.191750667,-19.575252,0,0.3870135915,ANOVA,-1.396454515,0.3333333333,3,-4.338246667,-14.01474,0,0.8099106013,ANOVA,-0.731604129,0,3,-1.762595,-100,0
